Order_ID,Customer_ID,Name,Product_ID,Product_name,Product_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
100,1,Love,8,phone,electornic,7,5.99,06/16/2020 07:39 PM,United States,Colombo,walmart.com,5590,N,account has been closed
101,2,Garek,6,milk,food,12,5.99,06/24/2020 08:45 AM,Guinea,New Orleans,target.com,5003,Y,
102,3,Grobe,5, eggs,food,17,6.99,09/06/2020 05:38 AM,Svalbard and Jan Mayen,Recife,khols.com,7938,Y,
103,4,Orlene,8,phone,electornic,9,5.99,04/25/2020 01:23 AM,South Africa,Valletta,jcpenny.com,6537,Y,
104,5,Jethro,4,bannana,food,3,6.99,04/25/2020 05:56 AM,Philippines,Quetzaltenango,target.com,6762,N,Credit card type isnít accepted
105,6,Toor,1,Shirt,clothes,1,65.99,12/14/2020 06:54 PM,Tuvalu,Rosario,khols.com,8398,Y,
106,7,Halsey,3,hat,clothes,16,6.99,07/30/2020 01:28 AM,Guadeloupe,Hai Phong,target.com,7100,N,processor declined
107,8,Thunell,6,milk,food,17,5.99,12/11/2020 11:03 PM,"Lao People""S Democratic Republic",Koror,jcpenny.com,6291,Y,
108,9,Ledah,5, eggs,food,5,13.99,07/29/2020 09:59 AM,British Indian Ocean Territory,Warsaw,target.com,5653,N,no inventory
109,10,Bryna,4,bannana,food,15,5.99,11/24/2020 05:05 PM,Kazakhstan,Kandy,walmart.com,6982,Y,
110,11,Kathie,5, eggs,food,2,13.99,07/23/2020 12:58 AM,United States Minor Outlying Islands,Macei√≥,walmart.com,7011,Y,
111,12,Carri,8,phone,electornic,6,500.99,01/17/2020 06:23 AM,Congo,Oranjestad,jcpenny.com,6977,N,Credit card type isnít accepted
112,13,Kylander,2,Pants,clothes,12,65.99,10/27/2020 07:00 PM,Guinea-Bissau,Denpasar,target.com,4603,N,expired card
113,14,Juan,10, bike tires,bikes,11,350.99,04/26/2020 06:59 AM,Cuba,Chennai,khols.com,6784,Y,
114,15,Harned,6,milk,food,19,13.99,04/15/2020 08:19 PM,Guatemala,Sarajevo,walmart.com,4796,N,Credit card type isnít accepted
115,16,Gaspard,3,hat,clothes,16,6.99,06/25/2020 12:47 AM,Holy See (Vatican City State),Frankfurt,target.com,5570,N,incorrectly entered information
116,17,Felizio,1,Shirt,clothes,11,10.99,11/15/2020 06:55 PM,Belarus,Medell√≠n,target.com,5263,Y,
117,18,Pernick,4,bannana,food,2,3.99,03/07/2020 01:50 PM,Palau,Minsk,khols.com,8249,Y,
118,19,Lewes,6,milk,food,16,6.99,09/05/2020 09:17 AM,Panama,Port Vila,bestbuy.com,5951,Y,
119,20,Barbey,3,hat,clothes,9,6.99,02/18/2020 07:52 PM,Hong Kong,Kharkiv,target.com,7939,N,insufficient funds
120,21,Harriman,7,TV,electornic,15,50.99,10/25/2020 10:41 PM,British Indian Ocean Territory,Cardiff,bestbuy.com,5499,N,payment gateway is misconfigured
121,22,Cottle,7,TV,electornic,3,100.99,06/15/2020 03:58 AM,Benin,Houston,khols.com,5095,N,Credit card type isnít accepted
122,23,Margarete,4,bannana,food,19,6.99,08/03/2020 11:42 AM,Guatemala,Phuket (city),jcpenny.com,8310,Y,
123,24,Lilas,2,Pants,clothes,11,10.99,06/12/2020 07:25 AM,Sudan,T√≥rshavn,khols.com,7347,Y,
124,25,Louanna,5, eggs,food,4,5.99,06/18/2020 04:13 AM,Peru,Edinburgh,bestbuy.com,4635,N,incorrectly entered information
125,26,Thema,2,Pants,clothes,16,40.99,08/08/2020 11:40 AM,Sao Tome and Principe,Sucre,target.com,5460,N,account has been closed
126,27,Sherrie,3,hat,clothes,4,40.99,10/12/2020 10:56 AM,Sao Tome and Principe,Koulikoro,khols.com,5372,N,expired card
